,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"MONTERO (Call Me By Your Name)","Lil Nas X",78467,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
2,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",76818,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
3,"Astronaut In The Ocean","Masked Wolf",59564,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
4,"Kiss Me More (feat. SZA)","Doja Cat",52471,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
5,"Levitating (feat. DaBaby)","Dua Lipa",48045,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
6,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",47119,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
7,RAPSTAR,"Polo G",44794,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
8,"Leave The Door Open","Bruno Mars",44198,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
9,"Heartbreak Anniversary",Giveon,43976,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
10,Runaway,AURORA,40330,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
11,"deja vu","Olivia Rodrigo",35127,https://open.spotify.com/track/61KpQadow081I2AsbeLcsb
12,"drivers license","Olivia Rodrigo",32276,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
13,Arcade,"Duncan Laurence",28933,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
14,telepatía,"Kali Uchis",28236,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
15,"Hold On","Justin Bieber",28120,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
16,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",27621,https://open.spotify.com/track/6fRxMU4LWwyaSSowV441IU
17,"Save Your Tears","The Weeknd",26726,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
18,Up,"Cardi B",26162,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
19,"Blinding Lights","The Weeknd",25686,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
20,"Goosebumps - Remix","Travis Scott",23570,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
21,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,23422,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
22,"The Business",Tiësto,23273,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
23,"Mood (feat. iann dior)",24kGoldn,22433,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
24,"Heat Waves","Glass Animals",22322,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
25,"Someone You Loved","Lewis Capaldi",21866,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
26,Dynamite,BTS,21433,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
27,Streets,"Doja Cat",20866,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
28,"Calling My Phone","Lil Tjay",20354,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
29,"WITHOUT YOU","The Kid LAROI",20322,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
30,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",19932,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
31,Anyone,"Justin Bieber",19601,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
32,Body,"Russ Millions",19446,https://open.spotify.com/track/3CVb6hkMrlF7eHhXi5B3PZ
33,"At My Worst","Pink Sweat$",18839,https://open.spotify.com/track/2MJz8BxxMsERULatmBikDH
34,"Don't Start Now","Dua Lipa",18157,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
35,Whoopty,CJ,17996,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
36,"We're Good","Dua Lipa",17832,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
37,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,17730,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
38,positions,"Ariana Grande",17443,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
39,"Watermelon Sugar","Harry Styles",17364,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
40,"Best Friend (feat. Doja Cat)",Saweetie,16527,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
41,"Good Days",SZA,16248,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
42,Binibini,"Zack Tabudlo",16248,https://open.spotify.com/track/2X5AFygz5SDYlXagyPw8kX
43,"Your Love (9PM)",ATB,16230,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
44,34+35,"Ariana Grande",15793,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
45,"Talking to the Moon","Bruno Mars",15769,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
46,BED,"Joel Corry",15388,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
47,"Head & Heart (feat. MNEK)","Joel Corry",15183,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
48,Levitating,"Dua Lipa",15130,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
49,SugarCrash!,ElyOtto,15001,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
50,"Paradise (feat. Dermot Kennedy)",MEDUZA,14791,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
51,"Holy (feat. Chance The Rapper)","Justin Bieber",14621,https://open.spotify.com/track/6Xgq7MvZiet0hVi3KaDSgJ
52,Memories,"Maroon 5",14447,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
53,"Sweater Weather","The Neighbourhood",14360,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
54,"you broke me first","Tate McRae",13387,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
55,HOLIDAY,"Lil Nas X",13384,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
56,"10,000 Hours (with Justin Bieber)","Dan + Shay",13345,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
57,"On The Ground",ROSÉ,13201,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
58,"What’s Next",Drake,13164,https://open.spotify.com/track/3aQem4jVGdhtg116TmJnHz
59,"lovely (with Khalid)","Billie Eilish",13116,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
60,Señorita,"Shawn Mendes",12933,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
61,"Say You Won't Let Go","James Arthur",12790,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
62,You,Regard,12511,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
63,"Cloud 9","Beach Bunny",12471,https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
64,"Solid (feat. Drake)","Young Stoner Life",12424,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
65,"What You Know Bout Love","Pop Smoke",12399,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
66,"Before You Go","Lewis Capaldi",12375,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
67,"Wants and Needs (feat. Lil Baby)",Drake,12345,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
68,"My Head & My Heart","Ava Max",12297,https://open.spotify.com/track/1KixkQVDUHggZMU9dUobgm
69,2002,Anne-Marie,12075,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo
70,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",12055,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
71,Circles,"Post Malone",11845,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
72,"If the World Was Ending - feat. Julia Michaels","JP Saxe",11805,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
73,"The Box","Roddy Ricch",11710,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
74,Shallow,"Lady Gaga",11466,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
75,"Put Your Records On","Ritt Momney",11421,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9
76,"Stuck with U (with Justin Bieber)","Ariana Grande",11382,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH
77,"Roses - Imanbek Remix","SAINt JHN",11339,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
78,"Dance Monkey","Tones And I",11228,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
79,"I Like Me Better",Lauv,11090,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
80,"Therefore I Am","Billie Eilish",10934,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
81,"HIGHEST IN THE ROOM","Travis Scott",10902,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
82,"Life Goes On",BTS,10864,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
83,"Lucid Dreams","Juice WRLD",10826,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
84,"Another Love","Tom Odell",10821,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
85,"As I Am (feat. Khalid)","Justin Bieber",10821,https://open.spotify.com/track/6F2r4HgpJnvKDmkN6JEN6J
86,goosebumps,"Travis Scott",10819,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
87,"Blueberry Faygo","Lil Mosey",10758,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW
88,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",10659,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
89,DÁKITI,"Bad Bunny",10567,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
90,"Film out",BTS,10561,https://open.spotify.com/track/3UHPGOkUcE4hE7sqBF4Snt
91,"Savage Love (Laxed - Siren Beat)","Jawsh 685",10559,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
92,Heather,"Conan Gray",10538,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
93,Perfect,"Ed Sheeran",10530,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
94,"Beautiful People (feat. Khalid)","Ed Sheeran",10489,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
95,"Take You Dancing","Jason Derulo",10472,https://open.spotify.com/track/59qrUpoplZxbIZxk6X0Bm3
96,willow,"Taylor Swift",10428,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
97,"Lonely (with benny blanco)","Justin Bieber",10270,https://open.spotify.com/track/3S8jK1mGzQi24ilFb45DAZ
98,"Come Through (feat. Chris Brown)",H.E.R.,10239,https://open.spotify.com/track/3krZxyBsWEHfEfJegYaWTd
99,"Laugh Now Cry Later (feat. Lil Durk)",Drake,10223,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
100,Falling,"Trevor Daniel",10176,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
101,"Met Him Last Night (feat. Ariana Grande)","Demi Lovato",10136,https://open.spotify.com/track/4yyX2Iu4xJjW9xMvBZKSBi
102,"Love Is Gone - Acoustic",SLANDER,10128,https://open.spotify.com/track/7F1CiKqrY44kh5cDqwHOnx
103,"death bed (coffee for your head)",Powfu,10124,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
104,"Martin & Gina","Polo G",10057,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
105,"GIRL LIKE ME","Black Eyed Peas",10034,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
106,"SICKO MODE","Travis Scott",9893,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
107,Dior,"Pop Smoke",9858,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
108,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",9837,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
109,"Without Me",Halsey,9834,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
110,"Shape of You","Ed Sheeran",9818,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
111,Closer,"The Chainsmokers",9781,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
112,"One Dance",Drake,9774,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
113,"this is how you fall in love","Jeremy Zucker",9761,https://open.spotify.com/track/1aEsTgCsv8nOjEgyEoRCpS
114,"Just the Way You Are","Bruno Mars",9748,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
115,SAD!,XXXTENTACION,9739,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
116,Fiel,"Los Legendarios",9699,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
117,"bad guy","Billie Eilish",9695,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
118,"This City","Sam Fischer",9551,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
119,Falling,"Harry Styles",9534,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
120,"POPSTAR (feat. Drake)","DJ Khaled",9521,https://open.spotify.com/track/6EDO9iiTtwNv6waLwa1UUq
121,"Life Is Good (feat. Drake)",Future,9485,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
122,Copines,"Aya Nakamura",9449,https://open.spotify.com/track/1Bhm5HNO1cq8olDbBmokyL
123,"7 rings","Ariana Grande",9415,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
124,"Slumber Party (feat. Princess Nokia)",Ashnikko,9374,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
125,"The Hills","The Weeknd",9317,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
126,"Mr. Perfectly Fine (Taylor’s Version) (From The Vault)","Taylor Swift",9291,https://open.spotify.com/track/2CYVETnhM9aytqrazYYwrK
127,"WAP (feat. Megan Thee Stallion)","Cardi B",9266,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
128,"All of Me","John Legend",9247,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
129,"Knock Knock",SoFaygo,9234,https://open.spotify.com/track/6aHoPULNO7pSL2ZfUY0bU8
130,Hope,XXXTENTACION,9145,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
131,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",9118,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
132,"Daddy Issues","The Neighbourhood",9101,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
