,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"أسياد الصوت",Wegz,84813,https://open.spotify.com/track/42nkGZLFa7PF2Hut7f7sxk
2,CTRL,"Marwan Pablo",75630,https://open.spotify.com/track/2lj1RNDztkIsyzhAX2soEa
3,Ghaba,"Marwan Pablo",62800,https://open.spotify.com/track/4Zpg4neFtdTJJF4wsrTJRa
4,"MONTERO (Call Me By Your Name)","Lil Nas X",53912,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
5,"Astronaut In The Ocean","Masked Wolf",46831,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
6,"Msh Fair",Wegz,38354,https://open.spotify.com/track/1JdRPaDFswfqCpAhBPKqUw
7,"متغاظ عارفك يلا مننا متغاظ","Mostafa el Degwy",36823,https://open.spotify.com/track/0sRMA5RMTncLpfZ6Uk9Wi1
8,Don,"Marwan Pablo",36758,https://open.spotify.com/track/4bjdKuJEtkr8IEwBiqyxAq
9,Runaway,AURORA,33769,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
10,"El Hob Fein","Marwan Pablo",32189,https://open.spotify.com/track/60Gq23sQOFobysukKlK6fb
11,"Atary (Full Version)","Marwan Pablo",31382,https://open.spotify.com/track/082HYgmGx9V6hG5tpwwpp7
12,Hustla,Wegz,26557,https://open.spotify.com/track/26x46Jk6rpcfkT8xttvUCc
13,Dawla,3enba,25741,https://open.spotify.com/track/5BedaQpN3d92CLUVewl94E
14,ثرثرة,Lege-Cy,25137,https://open.spotify.com/track/1PN1vuSWAW9mlIZSgFrQ7y
15,"Hetta Tanya",Ruby,24663,https://open.spotify.com/track/5zn9ZT7dKnRX5fnYvb3loq
16,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",23948,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
17,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",23448,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
18,Arcade,"Duncan Laurence",22990,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
19,Fokak,"Double Zuksh",22688,https://open.spotify.com/track/3VLykmyUx8XKraa9SWQgKO
20,Free,"Marwan Pablo",22472,https://open.spotify.com/track/6vRHVF61iN8TnMdoFBoE8f
21,Denamet,Molotof,22159,https://open.spotify.com/track/3NCZRSMdqwo5jpRdgcZxEV
22,الغسالة,Wegz,21891,https://open.spotify.com/track/7JAPo0o6KfpKdZiGLoRCNh
23,"Levitating (feat. DaBaby)","Dua Lipa",21032,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
24,"دورك جي",Wegz,21028,https://open.spotify.com/track/56nsR8Td7CWVCQIGjznu4L
25,"اندال اندال","Ahmed Moza",20841,https://open.spotify.com/track/6RpPYyGGMyDL9xfRcQfffj
26,Sindbad,"Marwan Pablo",20349,https://open.spotify.com/track/5xDaIms5HB1DTj5keH6sJc
27,"واحد وعشرين",Wegz,19354,https://open.spotify.com/track/7pBr36brGBNxCk3JahhyHb
28,"Abu Mecca","Marwan Pablo",18379,https://open.spotify.com/track/0kRVLXoBrU3IaKGUknzzJs
29,"El Donia El Helwa","Amr Diab",18377,https://open.spotify.com/track/6W6lYqKuPScYWchL6bS7Ly
30,"انا في حاجه هتجنني",7l2olo,18299,https://open.spotify.com/track/326wv1lze9tMWa8u4XUdaW
31,"Mahragan Embaba Khat Ahmar","Mido Gad",18244,https://open.spotify.com/track/4b4aSVwWBnwMiSwU62mIUr
32,"Meen Fe Dol","Ahmed Kamel",17974,https://open.spotify.com/track/63uctqlwCI5AxXYmpTVO2Z
33,شيراتون,"Marwan Moussa",17584,https://open.spotify.com/track/3S2aU4rUZXbVOxyVzgzXQ5
34,"Fady Shewaya","Hamza Namira",17418,https://open.spotify.com/track/3qRGs7H1bPfshHh19syRKQ
35,"Ma 3Alena",Shahyn,17278,https://open.spotify.com/track/104MRaGd2mXgZigqpsMK7o
36,"Kiss Me More (feat. SZA)","Doja Cat",17109,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
37,سكرتي,Wegz,17093,https://open.spotify.com/track/3pY3PPvp77FNQq01n4UrS1
38,"Eda Eda","El Sawareekh",17074,https://open.spotify.com/track/5srxSzbtZ1t2mL4QfQafYx
39,"Bahr Shar","Ahmed Abdo",16873,https://open.spotify.com/track/1AZjgKOrI1MVwoDKYlZIdF
40,"Blinding Lights","The Weeknd",16498,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
41,Agans,Shehab,16459,https://open.spotify.com/track/5biDlrBER5BUecUfzsCf1E
42,Drogba,"Marwan Moussa",16296,https://open.spotify.com/track/5FJXK0vbQc8jebPYx0HIEq
43,Monafqeen,"DJ Totti",16281,https://open.spotify.com/track/4GW1BcvFF9mdvmsIHmDgnG
44,telepatía,"Kali Uchis",16041,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
45,"مش مسيكب",Shehab,15977,https://open.spotify.com/track/53YaSCGeoisD1W1BrtoIeN
46,"Hattatack Battatack",Wegz,15912,https://open.spotify.com/track/3RzrCMppvv3cYLmAI1KdGp
47,"El Gemeza","Marwan Pablo",15677,https://open.spotify.com/track/2w27LtQBJvauJ6vDw12ecs
48,"Save Your Tears","The Weeknd",15611,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
49,RAPSTAR,"Polo G",15399,https://open.spotify.com/track/43PGPuHIlVOc04jrZVh9L6
50,"Oyouno Lama Ablony","Ramy Sabry",14810,https://open.spotify.com/track/63SfVFcA5kGYX1qJKRHhXR
51,"Bel Salama - Lorry Pt. 2 Remix",Molotof,14802,https://open.spotify.com/track/1OFqfSFPRN5hqTXz0WnUZB
52,Samurai,Cairokee,14554,https://open.spotify.com/track/7dTgSeAVu9EWJusdCsRyTo
53,"El Gholaf X Ozoris","Marwan Pablo",14545,https://open.spotify.com/track/5M7EIx94YOdh1uH0qlzxuK
54,Tayarat,3enba,14401,https://open.spotify.com/track/55pEJb85n9e412CJtNugQN
55,"البوصلة ضاعت","Marwan Moussa",13829,https://open.spotify.com/track/3OFejsaM3NDkclJg3rjWI2
56,"Ala Ba'ady",Afroto,13741,https://open.spotify.com/track/37Qs3XrDloB2ocXfAhVnmL
57,"Heartbreak Anniversary",Giveon,13733,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
58,فانتازيا,Lege-Cy,13695,https://open.spotify.com/track/1Ryokp2XGqiw1Mh6NTmKUV
59,"عصفورة - بتنقل الكلام دى مش رجوله","Mohamed Zizo",13651,https://open.spotify.com/track/4Y0HYqCtlXqSCZp3C2UoaY
60,"مفيش مانع",Lege-Cy,13341,https://open.spotify.com/track/7KLy4f8VCsiIEYr69mC4uZ
61,"كله طار فالمطار","Hoda Bondok",13304,https://open.spotify.com/track/4Ie7oOIUQkXvh1fHBsSlOg
62,Whoopty,CJ,13232,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
63,"lovely (with Khalid)","Billie Eilish",13141,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
64,"Ser Alsada ( Mountain View)","Hussain Aljassmi",13093,https://open.spotify.com/track/1b4eTrznDOiLZX2oWisl2m
65,"Leave The Door Open","Bruno Mars",13038,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
66,"drivers license","Olivia Rodrigo",12872,https://open.spotify.com/track/7lPN2DXiMsVn7XUKtOW1CS
67,"Geb Felos",Molotof,12593,https://open.spotify.com/track/71T1Jdg4J5uNesxvFa9hzZ
68,Amrikkka,Shabjdeed,12571,https://open.spotify.com/track/55LLrj5aARUqCLoDEwAp7v
69,"Baoul Aady","Tamer Ashour",12568,https://open.spotify.com/track/1NkW18VV3QVOCuoVQsBC84
70,"Hadal Ahbek","Issam Alnajjar",12563,https://open.spotify.com/track/0UdZzUSOLhqIFCU7wHWkgp
71,Ezayak,Batistuta,12514,https://open.spotify.com/track/27az6aDS4zWJ3yRU7gXJVH
72,"Jalebi Baby",Tesher,12325,https://open.spotify.com/track/6GKGoi0FHzldk1ZRQoV1fv
73,"ع الصامت",Lege-Cy,12279,https://open.spotify.com/track/1csotZQdK0em4MN66s3yRS
74,منحوس,Wegz,12103,https://open.spotify.com/track/3BvoCcikN9kzklSGjD2APf
75,"إتنين بليل",Lege-Cy,12028,https://open.spotify.com/track/6kG0pgi6lc00GzIB7OKX2j
76,"HIGHEST IN THE ROOM","Travis Scott",11828,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
77,Sogara,Afroto,11824,https://open.spotify.com/track/3C6zfNQAGVjYFXaYg7xLTY
78,"3ayz Fin","Marwan Pablo",11526,https://open.spotify.com/track/0PmwGroz5BHqUSVpQgfZXX
79,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",11362,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
