,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"ليه الجفا","Abdullah Al Farwan",101324,https://open.spotify.com/track/21redrQKfqom4LJarOQtQS
2,"Astronaut In The Ocean","Masked Wolf",101041,https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
3,Runaway,AURORA,91801,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
4,"Wasl Al Mahabah","Mohammed Bin Grman",77097,https://open.spotify.com/track/6hdRHwO3HVpXqZKmmZQXbb
5,"MONTERO (Call Me By Your Name)","Lil Nas X",76349,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
6,"اشكر جمالك","Abdullah Al Mukhles",62305,https://open.spotify.com/track/2gFZxR3Fur5t6fUzKgo7Y9
7,"Sawb Al Riyadh",Mashael,61763,https://open.spotify.com/track/2zRFrCapormSMSKfWh7Hu4
8,"شيلة طرب حماسية",غنوة,52270,https://open.spotify.com/track/67pgW0LyrChcjli8XyjT9U
9,"Allah Ala The Allil","Omar Naghmet Wattar",49001,https://open.spotify.com/track/5ihud1HlQGEy2JaZgFCsFE
10,Arcade,"Duncan Laurence",48336,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
11,"الدنيا دوارة","بدر العزي",47965,https://open.spotify.com/track/6ZQoqQ9YYKrf52JRNvueLH
12,"Shalaa Balahon","Fawaz Ben Awad",47943,https://open.spotify.com/track/0Ec98JWxzVe7eoTzQ28sat
13,"Levitating (feat. DaBaby)","Dua Lipa",43107,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
14,"Hobak Dawlati",Mahira,42335,https://open.spotify.com/track/4W6sBjbrhHYVM9nkPmSwns
15,"شيل البيض",Barry,41223,https://open.spotify.com/track/7hu2FeFvzmrNWe6ldX8iqy
16,SugarCrash!,ElyOtto,40217,https://open.spotify.com/track/2ePtv8MlBO9nuuXABqAfEX
17,"أجمل غرامي","Abdullah Al Farwan",39888,https://open.spotify.com/track/6NEJSZxzjuL72aheHI6lyY
18,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",38933,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
19,Mukhtanak,"Raad And Methaq",36756,https://open.spotify.com/track/35Vyf19kMqnY18hpFxCiD1
20,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",34852,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
21,"البعد موتي","غريب ال مخلص",34588,https://open.spotify.com/track/3rHrXOocY0wrgqLjpZITJv
